1.1.1,वृद्धिः आत् ऐच् ,,,
,,१,सञ्ज्ञाधिकारः सञ्ज्ञासम्प्रत्ययार्थः ,
,,२,इतरथा हि असम्प्रत्ययः यथा लोके ,
,,३,सञ्ज्ञासञ्ज्ञ्यसन्देहः च ,
,,४,आचार्याचारात् सञ्ज्ञासिद्धिः यथा लौकिकवैदिकेषु ,
,,५,सञ्ज्ञासञ्ज्ञ्यसन्देहः ,
,,६,अनाकृतिः ,
,,७,लिङ्गेन वा ,
,,८,सतः वृद्ध्यादिषु सञ्ज्ञाभावात् तदाश्रये इतरेतराश्रयत्वात् असिद्धिः ,
,,९,सिद्धम् तु नित्यशब्दत्वात् ,
,,१०,किमर्थम् शास्त्रम् इति चेत् निवर्तकत्वात् सिद्धम् ,
,,११,अन्यत्र सहवचनात् समुदाये सञ्ज्ञाप्रसङ्गः ,
,,१२,प्रत्यवयवम् च वाक्यपरिसमाप्तेः ,
,,१३,आकारस्य तपरकरणम् सवर्णार्थम् भेदकत्वात् स्वरस्य,
1.1.3,इकः गुणवृद्धी ,,,
,,१,इग्ग्रहणम् आत्सन्ध्यक्षरव्यञ्जननिवृत्त्यर्थम् ,
,,२,सञ्ज्ञया विधाने नियमः ,
,,३,वृद्धिगुणौ अलः अन्त्यस्य इति चेत् मिदिपुगन्तलघूपधर्च्छिदृशिक्षिप्रक्षुद्रेषु इग्ग्रहणम् ,
,,४,सर्वादेशप्रसङ्गः च अनिगन्तस्य ,
,,५,इग्मात्रस्य इति चेत् जुसिसार्वधातुकार्धधातुकह्रस्वाद्योः गुणेषु अनन्त्यप्रतिषेधः ,
,,६,पुगन्तलघूपधग्रहणम् अनन्त्यनियमार्थम् ,
,,७,वृद्धिग्रहणम् उत्तरार्थम् ,
,,८,मृज्यर्थम् इति चेत् योगविभागात् सिद्धम् ,
,,९,अटि च उक्तम् ,
,,१०,वृद्धिप्रतिषेधानुपपत्तिः तु इक्प्रकरणात् ,
,,११,णिश्विभ्याम् तौ निमातव्यौ तस्मात् इग्लक्षणा वृद्धिः ,
,,१२,षष्ठ्याः स्थानेयोगत्वात् इग्निवृत्तिः ,
,,१३,अन्यतरार्थम् पुनर्वचनम् ,
,,१४,प्रसारणे च ,
,,१५,विषयार्थम् पुनर्वचनम् ,
,,१६,उः अण् रपरे च ,
,,१७,सिद्धम् तु षष्ठ्यधिकारे वचनात्,
1.1.4,न धातुलोपे आर्धधातुके ,,,
,,१,यङ्यक्क्यवलोपे प्रतिषेधः ,
,,२,नुम्लोपस्रिव्यनुबन्धलोपे अप्रतिषेधार्थम् ,
,,३,इक्प्रकरणात् नुम्लोपे वृद्धिः ,
,,४,निपातनात् स्यदादिषु ,
,,५,प्रत्ययाश्रयत्वात् अन्यत्र सिद्धम् ,
,,६,रकि ज्यः प्रसारणम् ,
,,७,अल्लोपस्य स्थानिवत्ङत् अनारम्भः वा ,
,,८,उक्तम् शेषे,
1.1.5,क्ङिति च ,,,
,,१,क्ङिति प्रतिषेधे तन्निमित्तग्रहणम् ,
,,२,उपधारोरवीत्यर्थम् ,
,,३,शचङन्तस्य अन्तरङ्गलक्षणत्वात् ,
,,४,तद्धितकाम्योः इक्प्रकरणात् ,
,,५,लकारस्य ङित्त्वात् आदेशेषु स्थानिवद्भावप्रसङ्गः इति चेत् यासुटः ङिद्वचनात् सिद्धम्,
1.1.6,दीधीवेवीटाम् ,,,
,,१,दीधीवेव्योः छन्दोविषयत्वात् दृष्टानुविधित्वात् च छन्दसः अदीधेत् अदीधयुः इति च गुणदर्शनात् अप्रतिषेधः ,
,,२,दीध्यत् इति श्यन्व्यत्ययेन,
